Id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
16,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree
17,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree
18,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree
19,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree
20,Definitely Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree
21,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
22,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree
28,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree
29,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree
31,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
34,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
35,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree
39,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree
40,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree
41,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
42,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree
43,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Disagree
44,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
45,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Agree
46,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Agree
47,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree
48,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Disagree
49,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree
50,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
51,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Agree
52,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Disagree,Definitely Agree
53,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
54,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Agree,Definitely Disagree
55,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree
92,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree
91,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree
59,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Disagree
60,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Disagree
61,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree
64,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree
66,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree
67,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree
69,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Disagree
70,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
71,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree
72,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree
73,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
74,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree
75,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree
76,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Disagree
77,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Disagree
78,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
79,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree
80,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree
81,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
83,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
86,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree
87,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Agree
94,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree
97,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree
99,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Definitely Agree
100,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree
101,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree
102,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Slightly Agree
104,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
105,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree
109,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
112,Definitely Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree
113,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Definitely Disagree
114,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree
117,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree
