Serial,Comph_we,Comph_wk,Comp_we,Comp_wk,Smart_we,Smart_wk,Watch_we,Watch_wk
1000002,0.5,0.5,0,0,1,0.5,1,0.5
1000003,1,0.5,0,0,2,2,3,2
1000004,3,1,2,0,3,2,3,2
1000005,4,2,0,0,4,3,7,5
1000006,1,0.5,0,0,2,2,1,0.5
1000007,3,5,3,1,1,0.5,3,2
1000008,3,2,1,0.5,2,1,5,4
1000009,3,1,1,0.5,2,1,5,2
1000010,1,1,0,0,4,3,3,2
1000011,2,1,0,0,5,3,4,0.5
1000012,7,7,2,0.5,7,7,7,7
1000013,7,6,4,2,0.5,1,0,0
1000015,2,1,0.5,0,0.5,0,4,2
1000016,0,1,0,0,4,4,4,2
1000017,2,4,1,0,3,3,7,5
1000018,0,2,7,4,7,3,7,6
1000019,1,0.5,5,1,1,1,4,3
1000020,1,2,0.5,0.5,3,3,4,3
1000021,7,7,7,7,4,3,1,0
1000022,1,0,0,0,5,3,4,3
1000023,1,0.5,2,0.5,5,3,4,1
1000024,3,2,4,3,4,3,5,4
1000025,0,0,3,1,4,2,3,2
1000026,0.5,0.5,0,0,6,6,4,4
1000027,4,3,1,1,3,2,4,2
1000028,5,4,2,1,7,5,4,2
1000029,0,0,0,0,3,2,1,0
1000030,2,3,1,0,3,2,5,2
1000031,3,2,1,0.5,2,1,3,2
1000032,1,1,0,0,5,4,3,3
1000033,5,2,0,0,5,2,3,1
1000034,2,3,0,0,7,6,2,2
1000035,4,3,0,0,1,1,3,3
1000036,7,5,0,0,1,1,2,2
1000037,0.5,1,0,0,2,2,1,0.5
1000038,0.5,0.5,0,0,5,2,5,2
1000039,4,5,0,0,5,4,5,4
1000040,2,1,0,0,3,1,5,4
1000041,5,4,0,0,3,2,2,1
1000042,5,4,0,0,1,0.5,1,0.5
1000043,5,4,0,0,1,0.5,6,5
1000044,5,4,1,0.5,1,0.5,7,5
1000045,2,2,1,0,6,2,4,2
1000046,1,1,0,0,1,1,1,1
1000048,1,0.5,0,0,3,3,2,2
1000049,3,3,0,0,2,2,1,0.5
1000050,0,0,0,0,1,1,0.5,0.5
1000051,5,4,0,0,2,2,1,0.5
1000052,4,4,0,0,3,2,2,1
1000053,1,1,0,0,1,2,0,1
1000054,3,2,1,0.5,0.5,0.5,3,2
1000055,4,3,0,0,6,6,4,5
1000056,2,2,0,0,6,4,5,5
1000057,5,3,0,0,4,3,4,4
1000058,2,2,0,0,2,1,1,0.5
1000059,0,1,0,0,0,0,4,2
1000060,2,4,0.5,0,1,1,5,3
1000061,1,0.5,0,0,4,3,2,1
1000062,7,7,0,0,7,7,4,2
1000063,2,1,0,0,2,2,3,2
1000064,2,2,0,0,6,6,1,1
1000065,0.5,1,0,0,4,3,3,2
1000066,4,3,0,0,2,1,3,1
1000067,7,6,0,0,0.5,0.5,3,2
1000068,2,2,0,0,1,1,2,2
