Serial,male,minority,deprived
1087360,0,0,0
1088938,0,1,0
1088953,0,1,0
1088961,0,1,0
1089147,0,1,0
1089174,0,1,0
1102723,0,1,1
1093996,0,1,0
1094049,0,0,0
1094067,0,0,0
1097484,0,1,1
1097834,0,1,0
1099121,0,1,0
1099277,0,0,0
1099645,0,1,1
1074769,0,1,0
1074847,0,1,0
1074858,0,1,0
1074932,0,1,0
1081918,0,1,0
1092867,0,1,1
1102257,0,1,0
1102259,0,0,0
1104169,0,0,0
1104181,0,0,0
1108809,0,1,0
1109048,0,1,0
1111635,0,1,1
1114201,0,1,0
1098927,0,1,0
1104579,0,1,0
1104614,0,1,0
1104624,0,1,0
1105780,0,0,0
1105881,0,1,0
1105914,0,1,0
1106510,0,1,1
1115168,0,1,1
1118052,0,1,0
1075826,0,1,0
1075874,0,1,0
1075936,0,0,0
1076030,0,0,0
1078265,0,1,0
1078324,0,1,0
1078384,0,1,0
1078428,0,1,0
1078514,0,1,0
1086277,0,1,1
1089298,0,1,1
1108737,0,1,0
1081145,0,1,0
1081165,0,0,0
1081170,0,0,0
1081182,0,0,0
1082848,0,1,0
1108238,0,1,1
1111452,0,1,1
1113005,0,0,1
1113006,0,1,1
1113013,0,1,1
1118366,0,1,0
1118486,0,1,0
1118555,0,1,0
1119072,0,1,0
1119398,0,1,1
1119414,0,0,1
1120110,0,1,1
1096123,0,1,0
1096137,0,1,0
1096159,0,0,0
1096223,0,1,0
1096243,0,1,0
1096315,0,1,0
1100422,0,1,0
1100455,0,1,0
1101989,0,0,1
1102013,0,0,1
1109680,0,1,0
1109685,0,1,0
1111484,0,1,1
1111498,0,1,1
1114684,0,1,0
1114862,0,1,0
1114994,0,1,0
1114996,0,1,0
1115025,0,1,0
1115627,0,1,0
1115638,0,1,0
1115677,0,1,0
1115911,0,1,0
1118113,0,1,1
1118670,0,1,1
1119476,0,1,0
1119905,0,1,1
1120033,0,1,0
1120091,0,1,1
1114127,0,1,0
1114128,0,1,0
1114512,0,0,0
1114627,0,0,0
1117316,0,1,0
1116632,0,0,0
1117086,0,1,0
1118169,0,1,1
1118187,0,0,1
1118202,0,0,1
1119563,0,1,0
1119872,0,1,0
1119969,0,1,1
1113900,0,1,0
1113949,0,1,0
1113957,0,1,0
1113991,0,1,0
1115256,0,0,1
1115283,0,1,1
1116235,0,1,1
1116264,0,1,1
1096786,0,0,0
1096822,0,0,0
1098441,0,1,0
1111065,0,1,1
1102275,0,1,0
1102413,0,1,0
1107151,0,1,1
1108623,0,1,1
1108659,0,1,1
1107681,0,1,0
1108359,0,0,0
1108368,0,1,0
1108487,0,0,0
1108494,0,1,0
1110916,0,1,1
1111362,0,1,1
1111428,0,1,1
1089364,0,1,0
1093277,0,1,0
1095637,0,1,1
1097548,0,1,1
1099006,0,1,1
1112206,0,1,1
1101156,0,1,0
1101321,0,1,0
1105416,0,1,0
1109781,0,1,0
1112969,0,1,1
1104736,0,1,0
1104796,0,1,0
1104808,0,1,0
1105194,0,1,0
1105208,0,0,0
1105209,0,1,0
1105294,0,1,0
1109148,0,0,1
1109332,0,1,0
1109341,0,1,0
1110792,0,1,1
1092128,0,1,0
1092135,0,1,0
1092173,0,1,0
1092193,0,1,0
1092334,0,1,0
1092379,0,1,0
1092692,0,1,0
1096477,0,1,0
1097410,0,1,1
1097411,0,1,1
1108252,0,1,0
1109072,0,1,0
1076113,0,1,0
1088098,0,1,0
1088402,0,1,0
1090043,0,0,0
1107796,0,0,0
1109861,0,1,0
1110057,0,1,0
1113196,0,1,0
1114072,0,1,0
1100822,0,1,0
1100850,0,0,0
1100992,0,0,0
1103265,0,1,0
1107252,0,0,1
1111823,0,1,0
1112037,0,0,0
1112077,0,0,0
1112579,0,1,0
1112715,0,1,0
1112774,0,1,0
1112826,0,1,0
1117834,0,0,0
1084695,0,1,0
1085190,0,1,0
1085421,0,1,0
1085453,0,1,0
1095287,0,1,1
1099777,0,0,0
1099992,0,1,0
1103826,0,1,0
1109618,0,1,1
1113245,0,1,1
1088720,0,1,0
1091300,0,1,1
1091366,0,0,1
1082517,0,1,0
1086338,0,1,1
1091875,0,1,0
1091919,0,1,0
1094441,0,1,1
1098675,0,1,0
1098769,0,1,0
1098775,0,1,0
1102735,0,1,1
1102827,0,1,1
1102836,0,1,1
1102849,0,0,1
1102894,0,1,1
1102948,0,1,1
1102952,0,1,1
1108109,0,1,0
1059590,0,1,0
1059617,0,0,0
1059787,0,0,0
1070042,0,1,0
1071038,0,1,1
1071074,0,0,1
1006075,0,1,0
1011179,0,1,0
1011264,0,1,0
1033187,0,1,1
1033192,0,1,1
1041755,0,1,0
1041833,0,1,0
1043628,0,1,1
1053020,0,0,0
1053138,0,1,0
1053168,0,1,0
1058576,0,1,0
1058610,0,1,0
1058737,0,0,0
1067363,0,1,1
1068518,0,0,1
1090185,0,1,1
1093885,0,1,1
1093898,0,1,1
1035713,0,1,0
1035830,0,1,0
1035899,0,1,0
1035905,0,1,0
1038220,0,0,0
1038242,0,1,0
1038357,0,0,0
1038365,0,1,0
1038427,0,1,0
1038468,0,1,0
1046089,0,1,1
1046099,0,1,1
1046130,0,1,1
1046183,0,1,1
1060086,0,1,0
1060124,0,1,0
1060132,0,1,0
1066733,0,1,0
1066736,0,1,0
1066792,0,1,0
1066833,0,1,0
1066972,0,1,0
1091979,0,1,0
1095563,0,1,1
1103302,0,1,1
1103306,0,1,1
1046512,0,1,0
1046547,0,1,0
1051924,0,1,0
1077006,0,1,1
1082258,0,1,1
1065755,0,1,1
1067950,0,1,1
1067999,0,1,1
1073172,0,1,1
1073174,0,1,1
1073214,0,1,1
1083370,0,1,1
1049176,0,1,0
1052836,0,1,0
1058803,0,1,0
1058811,0,1,0
1071871,0,1,1
1071880,0,1,1
1073511,0,1,1
1073521,0,1,1
1074386,0,1,0
1085827,0,1,1
1030737,0,1,1
1030808,0,1,1
1050126,0,1,1
1031257,0,1,1
1033119,0,1,0
1042306,0,1,1
1046966,0,1,1
1056730,0,1,1
1001004,0,1,0
1018416,0,1,0
1027872,0,1,1
1045934,0,1,0
1049321,0,1,1
1067077,0,1,1
1071748,0,1,1
1071756,0,1,1
1005844,0,0,0
1005886,0,1,0
1005933,0,1,0
1055539,0,1,1
1061296,0,1,1
1061302,0,1,1
1072876,0,1,1
1077338,0,1,1
1077357,0,1,1
1077378,0,1,1
1091138,0,1,1
1034527,0,1,0
1040297,0,1,1
1040466,0,1,1
1050435,0,1,1
1060632,0,1,1
1060703,0,1,1
1089758,0,1,1
1002525,0,1,1
1002546,0,1,1
1080745,0,1,1
1090354,0,1,0
1025492,0,1,1
1025551,0,1,1
1025573,0,1,1
1035413,0,1,1
1035446,0,1,1
1035457,0,1,1
1035474,0,1,1
1035484,0,1,1
1035513,0,1,1
1035523,0,1,1
1038539,0,0,1
1038588,0,1,1
1044196,0,1,1
1022086,0,1,1
1076248,0,1,0
1082160,0,1,1
1082169,0,1,1
1015725,0,1,0
1015745,0,1,0
1028968,0,1,1
1032198,0,1,1
1043358,0,1,1
1043407,0,1,1
1069772,0,1,1
1069803,0,1,1
1078641,0,1,1
1027011,0,1,1
1027022,0,1,1
1045083,0,1,1
1045565,0,1,1
1083722,0,1,1
1031027,0,1,0
1028603,0,1,1
1031285,0,1,1
1047550,0,1,1
1056855,0,1,0
1059036,0,1,0
1066053,0,1,1
1066080,0,1,1
1070426,0,1,1
1084049,0,1,1
1026644,0,1,1
1026653,0,1,1
1026686,0,1,1
1026696,0,1,1
1029868,0,1,0
1030100,0,1,1
1060431,0,1,1
1066156,0,1,1
1014036,0,1,0
1017418,0,1,1
1017422,0,1,1
1017432,0,1,1
1017448,0,1,1
1023774,0,1,1
1023775,0,0,1
1037353,0,1,1
1037386,0,1,1
1047171,0,1,1
1047191,0,1,1
1073937,0,1,1
1003128,0,1,0
1014922,0,1,0
1023689,0,1,1
1023697,0,1,1
1023710,0,1,1
