Id,Sex,Age,Willing
16,Male,20,1
17,Male,40,1
18,Male,33,1
19,Male,18,1
20,Male,24,1
21,Female,42,1
22,Female,19,1
28,Female,49,1
29,Female,18,1
31,Male,18,1
34,Female,32,1
35,Female,18,1
39,Female,20,1
40,Male,39,1
41,Female,18,1
42,Male,20,1
43,Female,19,1
44,Male,23,1
45,Female,58,1
46,Female,21,1
47,Male,39,1
48,Male,22,1
49,Female,36,0
50,Female,19,1
51,Female,20,1
52,Male,25,0
53,Female,22,1
54,Female,23,1
55,Female,23,1
92,Male,19,1
91,Male,21,1
59,Female,29,1
60,Female,63,0
61,Female,20,1
64,Female,18,1
66,Female,21,1
67,Female,21,1
69,Female,21,1
70,Female,18,1
71,Male,23,1
72,Female,23,1
73,Female,41,1
74,Female,48,1
75,Female,19,1
76,Female,18,1
77,Female,28,1
78,Male,27,1
79,Male,19,1
80,Male,22,1
81,Female,19,1
83,Female,58,1
86,Male,77,1
87,Female,19,1
94,Female,19,1
97,Female,20,1
99,Male,25,0
100,Female,20,1
101,Male,21,1
102,Female,21,1
104,Male,21,1
105,Female,21,0
109,Female,20,1
112,Female,23,1
113,Female,18,1
114,Female,18,1
117,Male,19,1
