eval_id,Category,Rating
1,competent,6
1,thoughtful,6
1,intelligent,6
1,impression,7
1,hire,6
2,competent,5
2,thoughtful,7
2,intelligent,5
2,impression,4.66666666666667
2,hire,4
3,competent,6
3,thoughtful,7
3,intelligent,5
3,impression,8.33333333333333
3,hire,5
4,competent,3
4,thoughtful,2
4,intelligent,5
4,impression,4.66666666666667
4,hire,4
5,competent,1
5,thoughtful,2
5,intelligent,0
5,impression,1.33333333333333
5,hire,1
6,competent,2
6,thoughtful,2
6,intelligent,2
6,impression,2
6,hire,1
7,competent,4
7,thoughtful,3
7,intelligent,4
7,impression,2.66666666666667
7,hire,1
8,competent,1
8,thoughtful,2
8,intelligent,2
8,impression,1.66666666666667
8,hire,2
9,competent,5
9,thoughtful,5
9,intelligent,5
9,impression,4.33333333333333
9,hire,3
10,competent,3
10,thoughtful,5
10,intelligent,3
10,impression,2.66666666666667
10,hire,2
11,competent,5
11,thoughtful,6
11,intelligent,6
11,impression,7.33333333333333
11,hire,4
12,competent,9
12,thoughtful,9
12,intelligent,9
12,impression,8.66666666666667
12,hire,8
13,competent,5
13,thoughtful,7
13,intelligent,6
13,impression,5.66666666666667
13,hire,4
14,competent,4
14,thoughtful,4
14,intelligent,3
14,impression,4.33333333333333
14,hire,2
15,competent,2
15,thoughtful,0
15,intelligent,0
15,impression,0.33333333333332993
15,hire,0
16,competent,9
16,thoughtful,9
16,intelligent,9
16,impression,6.66666666666667
16,hire,7
17,competent,2
17,thoughtful,2
17,intelligent,3
17,impression,2.33333333333333
17,hire,1
18,competent,6
18,thoughtful,3
18,intelligent,5
18,impression,3
18,hire,3
19,competent,6
19,thoughtful,4
19,intelligent,4
19,impression,4
19,hire,3
20,competent,3
20,thoughtful,5
20,intelligent,3
20,impression,4.66666666666667
20,hire,3
21,competent,8
21,thoughtful,7
21,intelligent,6
21,impression,7.33333333333333
21,hire,7
22,competent,4
22,thoughtful,1
22,intelligent,0
22,impression,0.6666666666666701
22,hire,2
23,competent,6
23,thoughtful,7
23,intelligent,6
23,impression,7
23,hire,5
24,competent,5
24,thoughtful,7
24,intelligent,5
24,impression,6.66666666666667
24,hire,0
25,competent,8
25,thoughtful,8
25,intelligent,7
25,impression,6.66666666666667
25,hire,7
26,competent,8
26,thoughtful,7
26,intelligent,5
26,impression,7.66666666666667
26,hire,5
27,competent,2
27,thoughtful,5
27,intelligent,4
27,impression,5.33333333333333
27,hire,1
28,competent,4
28,thoughtful,6
28,intelligent,4
28,impression,6
28,hire,4
29,competent,7
29,thoughtful,5
29,intelligent,5
29,impression,7.33333333333333
29,hire,7
30,competent,2
30,thoughtful,3
30,intelligent,5
30,impression,4
30,hire,4
31,competent,5
31,thoughtful,2
31,intelligent,3
31,impression,5.33333333333333
31,hire,2
32,competent,3
32,thoughtful,2
32,intelligent,2
32,impression,3.3333333333333304
32,hire,1
33,competent,6
33,thoughtful,6
33,intelligent,6
33,impression,4.66666666666667
33,hire,5
34,competent,5
34,thoughtful,5
34,intelligent,5
34,impression,7.33333333333333
34,hire,8
35,competent,5
35,thoughtful,4
35,intelligent,5
35,impression,6
35,hire,5
36,competent,5
36,thoughtful,8
36,intelligent,5
36,impression,7.66666666666667
36,hire,7
37,competent,6
37,thoughtful,7
37,intelligent,7
37,impression,5.33333333333333
37,hire,7
38,competent,5
38,thoughtful,5
38,intelligent,5
38,impression,8.33333333333333
38,hire,5
39,competent,5
39,thoughtful,6
39,intelligent,5
39,impression,5.66666666666667
39,hire,5
