Serial,WBOptimf,WBUseful,WBRelax,WBIntp,WBEnergy,WBDealpr,WBThkclr,WBGoodme,WBClsep,WBConfid,WBMkmind,WBLoved,WBIntthg,WBCheer
1087360,5,3,2,1,3,5,4,1,5,2,5,3,5,1
1094049,2,3,3,2,3,1,2,1,5,1,2,5,4,2
1094067,4,3,4,4,4,4,4,3,4,4,4,4,3,4
1097484,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1102259,5,4,3,5,2,3,4,4,4,4,3,5,5,5
1104169,4,3,3,4,3,2,3,3,4,2,3,5,2,3
1104181,1,2,3,5,4,3,3,3,3,3,4,4,3,4
1098927,1,2,4,4,2,1,4,5,5,5,5,1,5,5
1105780,4,3,2,4,2,5,2,3,4,3,4,5,2,4
1076030,4,2,2,2,2,4,3,2,1,2,4,3,4,2
1081165,3,2,2,4,1,3,3,3,4,4,4,3,3,3
1081170,4,4,4,5,4,3,4,3,4,3,5,5,4,4
1081182,1,1,1,4,2,2,1,1,4,3,1,4,4,2
1113005,4,3,2,3,2,2,2,3,3,3,3,4,4,3
1119414,3,4,4,1,4,5,5,4,1,3,4,4,2,5
1096159,4,3,2,3,2,3,4,2,3,4,4,4,4,3
1101989,3,4,2,4,3,4,3,4,4,4,3,4,4,4
1102013,5,4,5,5,5,2,5,5,5,2,3,5,5,5
1114512,2,2,2,2,2,3,5,3,3,2,2,4,2,2
1114627,2,2,1,4,4,2,2,3,4,2,4,3,1,3
1116632,1,1,1,3,1,3,5,1,1,1,4,1,1,3
1118202,1,2,2,3,2,1,2,2,2,2,1,4,1,3
1115256,3,4,4,5,2,4,2,2,5,3,4,5,5,3
1096786,4,4,4,4,3,4,4,4,4,4,4,5,4,4
1096822,2,2,2,4,2,3,3,3,4,2,3,5,4,3
1111065,3,2,3,1,2,3,3,2,2,2,3,3,3,3
1108659,2,3,4,3,4,3,4,4,5,3,3,4,3,4
1108359,3,2,3,2,3,3,3,1,2,3,2,3,2,3
1108368,2,2,3,2,2,2,2,1,2,1,3,2,2,2
1108487,4,4,3,2,2,3,3,4,4,4,4,3,4,4
1095637,4,4,3,4,2,3,4,2,4,2,4,5,4,4
1105208,3,3,3,3,5,3,3,3,3,3,2,3,3,3
1109332,2,2,1,5,1,2,3,1,2,1,4,4,3,1
1109341,3,4,2,2,1,2,2,2,2,2,3,3,3,3
1096477,1,1,1,2,2,1,1,1,1,1,2,1,1,1
1090043,4,3,3,3,2,3,4,3,4,4,5,5,4,4
1107796,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1100850,4,3,3,3,2,2,3,3,5,3,4,5,2,4
1100992,3,2,2,2,1,1,1,2,2,1,4,2,1,2
1107252,4,2,3,3,2,2,4,3,5,4,3,5,2,3
1112037,5,5,5,5,5,4,5,5,5,3,4,5,5,5
1112077,4,4,3,4,4,4,4,4,4,3,4,3,4,4
1117834,1,3,2,2,1,4,2,3,1,2,1,3,2,3
1099777,2,2,2,2,2,3,2,2,2,1,3,3,2,2
1091366,5,5,4,5,5,4,5,4,5,4,5,5,5,5
1102849,4,3,5,5,2,2,3,2,3,2,3,1,4,2
1059617,3,3,2,4,3,3,5,4,4,4,4,4,3,4
1059787,3,2,3,2,3,2,3,3,2,3,3,5,3,4
1071074,4,2,1,4,4,2,1,4,4,3,4,3,2,3
